drug,rankpc_rho,pc_qvalue,pc_rho
ambrisentan,1219,6.70538664771720e-09,0.268962533
JWE-035,1220,3.60111635432653e-10,0.271597954
pitavastatin,1221,2.81514482980041e-09,0.272474358
AD-5467,1222,3.42663112041522e-09,0.274595598
chenodiol,1223,1.61005131057004e-09,0.274788236
purpurogallin,1224,4.18245813232161e-09,0.275506521
FK-888,1225,1.38294919227735e-09,0.279299069
dapivirine,1226,9.80509479275932e-10,0.280785968
CGP-12177,1227,1.20128367509306e-09,0.28393338
SB-269970,1228,3.60111635432653e-10,0.285264583
7-hydroxystaurosporine,1229,1.2406647236835e-10,0.286046443
temsirolimus,1230,2.29249238324975e-11,0.287638781
macitentan,1231,1.10917266806517e-10,0.288317628
alisertib,1232,3.91984912232331e-11,0.288703139
BMS-536924,1233,5.64795777046594e-11,0.289692194
bitopertin,1234,3.1849223025315e-10,0.29009387
metixene,1235,3.60111635432653e-10,0.292037353
DPCPX,1236,4.95143720006146e-10,0.292274256
fisetin,1237,2.53633096861438e-11,0.297356878
PHA-848125,1238,1.31202404019657e-11,0.298206336
ripasudil,1239,3.44625243344674e-11,0.30132134
terfenadine,1240,1.41818031741336e-10,0.302531651
everolimus,1241,2.87806213246216e-12,0.304228016
LY-294002,1242,1.55897301310244e-13,0.310124392
orlistat,1243,3.89056480448344e-09,0.310391242
nisoldipine,1244,4.76441577462994e-12,0.310650052
ispinesib,1245,4.56406357702832e-12,0.311258553
SB-705498,1246,5.04974854032379e-11,0.314866438
meisoindigo,1247,2.77477655157996e-12,0.316881466
pacritinib,1248,7.19271593680067e-14,0.323008177
lenvatinib,1249,2.8922408075688e-12,0.324564565
strychnine,1250,2.15825622994193e-12,0.325088455
apafant,1251,1.44016930307827e-12,0.330654056
CEP-32496,1252,2.52267594450615e-14,0.335259948
SB-216641,1253,1.77809485755212e-13,0.338790775
quercetin,1254,2.17949678983666e-16,0.346935084
ticagrelor,1255,5.51682743266504e-16,0.347994787
adenosine,1256,2.3960079524874e-14,0.350786101
flecainide,1257,0,0.368500686
phenacemide,1258,0,0.378114647
homatropine-methylbromide,1259,0,0.386025493
GR-127935,1260,0,0.393623494
proglumide,1261,0,0.395445646
wortmannin,1262,0,0.464860277
